Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2022-05-30;51921.0;15.2;17.3
2023-06-28;51507.0;21.7;20.0
2022-06-01;53165.0;17.4;17.5
2023-07-05;52012.0;18.8;20.5
2022-06-02;52839.0;19.5;17.6
2023-07-15;46705.0;22.2;21.0
2022-06-06;46898.0;18.5;18.0
2023-07-24;51201.0;20.6;21.2
2022-06-13;52850.0;20.0;18.7
2023-07-27;50401.0;20.4;21.2
2022-06-14;53956.0;21.5;18.8
2023-07-28;50313.0;21.4;21.2
2022-07-11;54703.0;23.8;20.9
2023-08-02;49887.0;20.9;21.1
2022-07-12;56324.0;25.4;20.9
2023-08-03;48568.0;18.8;21.1
2022-07-13;56763.0;26.1;20.9
2023-08-10;47392.0;22.3;20.8
2022-07-19;57708.0;27.8;21.1
2023-08-13;41837.0;21.4;20.6
2022-08-15;43352.0;21.4;20.4
2023-08-15;43393.0;21.8;20.4
2022-08-16;49175.0;21.7;20.4
2023-08-20;44608.0;25.1;20.0
2022-08-22;50565.0;21.6;19.9
2023-08-22;54112.0;25.9;19.9
2022-08-30;53489.0;22.2;19.0
2023-08-26;45863.0;18.8;19.4
2022-09-01;53160.0;22.0;18.8
2023-09-05;53284.0;24.9;18.3
2022-09-13;53007.0;22.8;17.3
2023-09-07;53312.0;24.4;18.0
2022-09-19;50824.0;14.7;16.5
2023-09-12;53289.0;20.5;17.4
2022-09-20;51424.0;14.3;16.4
2023-09-14;51097.0;19.5;17.2
2022-09-23;51561.0;15.3;16.0
2023-09-15;50857.0;20.5;17.0
2022-09-24;46696.0;14.9;15.9
2023-09-21;50460.0;17.0;16.3
2022-09-27;53232.0;13.4;15.5
2023-09-29;50392.0;19.2;15.2
2022-09-28;53732.0;13.8;15.3
2023-09-30;45505.0;18.0;15.1
2022-10-08;46905.0;14.3;14.0
2023-10-02;51967.0;20.6;14.8
2022-10-20;50946.0;17.7;12.4
2023-10-05;50240.0;15.0;14.4
2022-11-04;55272.0;10.4;10.3
2023-10-14;46030.0;15.5;13.2
2022-11-08;56824.0;13.6;9.7
2023-10-20;52322.0;15.3;12.4
2022-11-09;57613.0;12.9;9.5
2023-10-21;48552.0;13.7;12.3
2022-11-10;56216.0;10.7;9.4
2023-10-23;55113.0;12.7;12.0
2022-11-13;50826.0;11.1;8.9
2023-10-26;55269.0;13.9;11.6
2022-11-15;59277.0;11.9;8.7
2023-10-27;54851.0;13.0;11.4
2022-11-25;62422.0;9.3;7.3
2023-11-01;51708.0;12.1;10.7
2022-12-02;70827.0;4.4;6.4
2023-11-12;55702.0;11.0;9.1
2022-12-06;75045.0;3.9;6.0
2023-11-13;59994.0;14.4;8.9
2022-12-08;77134.0;2.7;5.8
2023-11-18;56254.0;10.6;8.2
2022-12-11;75551.0;-0.7;5.5
2023-11-21;62736.0;10.5;7.8
2022-12-15;79048.0;3.5;5.2
2023-11-23;66679.0;7.8;7.5
2022-12-17;76893.0;-0.7;5.1
2023-12-04;75342.0;6.3;6.2
2022-12-19;70049.0;9.6;5.0
2023-12-12;64655.0;11.4;5.4
2022-12-29;59043.0;10.0;4.6
2023-12-15;66634.0;8.2;5.2
2023-12-17;67680.0;3.5;5.1
2023-12-23;57580.0;9.7;4.8
2023-12-31;58261.0;8.8;4.6
2023-01-05;62687.0;11.2;4.6
2023-01-09;69032.0;7.6;4.7
2023-01-14;58446.0;9.3;4.8
2023-01-15;62011.0;7.2;4.8
2023-01-20;80648.0;1.9;5.0
2023-01-22;77197.0;0.3;5.1
2023-01-23;84172.0;1.3;5.2
2023-01-31;75053.0;5.6;5.5
2023-02-01;73554.0;7.0;5.6
2023-02-02;72539.0;7.2;5.6
2023-02-03;72185.0;7.5;5.7
2023-02-07;75890.0;3.3;5.9
2023-02-09;81839.0;2.3;6.0
2023-02-16;68667.0;8.4;6.4
2023-02-20;65790.0;7.9;6.7
2023-03-04;65352.0;5.1;7.4
2023-03-05;64451.0;5.2;7.5
2023-03-12;53564.0;12.0;8.1
2023-03-15;63101.0;8.0;8.3
2023-03-18;51360.0;11.5;8.6
2023-03-29;58250.0;14.0;9.8
2023-03-30;54287.0;14.1;9.9
2023-04-05;66117.0;7.9;10.6
2023-04-06;60686.0;10.1;10.7
2023-04-12;56754.0;10.6;11.5
2023-04-13;58971.0;8.8;11.6
2023-05-05;50552.0;16.0;14.5
2023-05-12;52089.0;12.4;15.3
2023-05-17;52137.0;13.0;15.9
2023-05-23;50100.0;16.3;16.6
2023-05-26;49307.0;17.9;16.9
2023-05-28;41533.0;19.9;17.1
2023-06-09;51172.0;21.7;18.3
2023-06-22;51569.0;20.9;19.5
2023-06-26;51627.0;21.6;19.8
2023-06-29;52200.0;21.3;20.1
2023-06-30;50359.0;18.7;20.1
2023-07-03;50840.0;20.2;20.4
2023-07-06;52023.0;20.5;20.6
2023-07-11;55644.0;24.3;20.9
2023-07-16;43943.0;20.4;21.1
2023-07-19;53593.0;22.0;21.1
2023-07-30;42843.0;20.1;21.2
2023-08-08;46253.0;19.2;20.9
2023-08-18;49576.0;24.9;20.2
2023-08-23;55205.0;26.4;19.8
2023-08-27;42564.0;17.2;19.3
2023-09-09;47988.0;25.2;17.8
2023-09-11;52831.0;22.7;17.5
2023-09-13;51519.0;19.4;17.3
2023-10-13;50355.0;20.2;13.4
2023-10-15;45370.0;11.8;13.1
2023-10-18;54300.0;16.6;12.7
2023-10-22;46581.0;12.7;12.1
2023-10-24;54269.0;13.4;11.9
2023-11-02;58516.0;11.3;10.6
2023-11-06;61899.0;10.3;10.0
2023-11-11;56418.0;8.7;9.2
2023-11-17;60955.0;9.7;8.4
2023-11-20;62485.0;11.0;8.0
2023-11-22;65954.0;8.5;7.7
2023-11-26;64869.0;4.0;7.2
2023-11-29;72862.0;4.9;6.8
2023-11-30;71310.0;6.1;6.7
2023-12-01;71583.0;5.1;6.5
2023-12-02;71513.0;1.9;6.4
2023-12-06;74741.0;4.8;6.0
2023-12-10;60293.0;10.6;5.6
2023-12-20;70741.0;7.6;4.9
2023-12-28;61045.0;9.5;4.7
2022-01-03;68563.0;10.5;4.6
2022-01-14;87319.0;1.7;4.8
2022-01-27;85476.0;2.8;5.3
2022-02-06;67459.0;7.6;5.9
2022-02-16;72318.0;10.7;6.4
2022-02-18;66590.0;10.5;6.5
2022-02-20;62848.0;9.8;6.7
2022-03-02;69928.0;8.3;7.3
2022-03-10;68744.0;9.5;7.9
2022-03-11;66613.0;9.8;8.0
2022-03-13;62485.0;8.8;8.2
2022-03-14;68582.0;9.2;8.2
2022-03-16;65655.0;11.2;8.4
2022-03-23;63765.0;10.5;9.1
2022-04-03;64771.0;4.1;10.3
2022-04-04;74334.0;5.6;10.5
2022-04-07;64933.0;11.8;10.8
2022-04-10;56640.0;8.4;11.2
2022-04-11;62653.0;12.4;11.3
2022-04-12;58175.0;14.2;11.5
2022-04-16;47358.0;15.3;12.0
2022-04-20;55363.0;12.5;12.5
2022-04-21;54758.0;13.5;12.7
2022-04-22;53660.0;13.8;12.8
2022-04-23;49789.0;13.3;12.9
2022-04-27;54177.0;13.1;13.4
2022-05-04;53860.0;14.0;14.3
2022-05-05;54138.0;14.0;14.5
2022-05-09;51905.0;17.9;14.9
2022-05-29;43482.0;15.1;17.2
2022-06-03;52885.0;20.1;17.7
2022-06-04;47910.0;20.9;17.8
2022-06-07;52524.0;18.7;18.1
2022-06-08;53022.0;17.5;18.2
2022-06-15;55714.0;24.0;18.9
2022-06-19;46672.0;23.0;19.2
2022-06-20;54204.0;21.5;19.3
2022-06-28;52788.0;19.5;20.0
2022-07-01;52139.0;17.4;20.2
2022-07-09;48666.0;22.8;20.7
2022-07-10;45951.0;22.6;20.8
2022-07-14;49571.0;25.2;21.0
